Rank,Name,Team,Position,Week,Opponent,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
1,Indianapolis Colts,IND,DST,7,BUF,3,25.7,19.1,5.2,3,56
2,Los Angeles Rams,LAR,DST,7,SF,9.1,18.1,7.5,20.8,6,61.5
3,Denver Broncos,DEN,DST,7,ARI,8.16,15.1,33.6,3.2,5,65.06
4,Kansas City Chiefs,KC,DST,7,CIN,10.98,9.1,34.3,9.3,4,67.68
5,Dallas Cowboys,DAL,DST,7,WAS,12.72,27.5,15.4,6.3,8,69.92
6,Minnesota Vikings,MIN,DST,7,NYJ,16.04,20.8,13.4,14.7,7,71.94
7,Houston Texans,HOU,DST,7,JAX,13.48,20.9,33.3,3.7,1,72.38
8,Jacksonville Jaguars,JAX,DST,7,HOU,10.86,25.6,28.1,0,10,74.56
9,Washington Redskins,WAS,DST,7,DAL,22.22,6.2,42.1,10.3,6,86.82
10,Tampa Bay Buccaneers,TB,DST,7,CLE,20.9,19.9,35,15.2,3,94
11,Detroit Lions,DET,DST,7,MIA,17.76,23,39.7,11.7,3,95.16
12,Baltimore Ravens,BAL,DST,7,NO,19.28,21.7,32.8,16.3,6,96.08
13,Arizona Cardinals,ARI,DST,7,DEN,9.84,27.2,49.32,2.2,10,98.56
14,Los Angeles Chargers,LAC,DST,7,TEN,16.28,36.2,26.9,12.2,7,98.58
15,Tennessee Titans,TEN,DST,7,LAC,23.14,14.2,52.1,3.1,8,100.54
16,New Orleans Saints,NO,DST,7,BAL,26.66,13.2,50.9,9.7,5,105.46
17,Philadelphia Eagles,PHI,DST,7,CAR,25.66,14,56.6,8.5,1,105.76
18,San Francisco 49ers,SF,DST,7,LAR,16.58,38.7,37.1,0.5,13,105.88
19,Carolina Panthers,CAR,DST,7,PHI,22.7,11.6,29.8,40.1,6,110.2
20,New York Jets,NYJ,DST,7,MIN,17.54,25,57.4,2.6,14,116.54
21,Buffalo Bills,BUF,DST,7,IND,22.34,46.5,26.5,16.5,5,116.84
22,Miami Dolphins,MIA,DST,7,DET,17.58,36.2,25.8,22.6,16,118.18
23,Chicago Bears,CHI,DST,7,NE,22.68,36.8,51.1,0,8,118.58
24,Atlanta Falcons,ATL,DST,7,NYG,23.66,26.6,58,7.7,6,121.96
25,Cleveland Browns,CLE,DST,7,TB,26.1,17.3,50.6,20.5,10,124.5
26,New York Giants,NYG,DST,7,ATL,22.26,25.4,54.5,9.6,16,127.76
27,New England Patriots,NE,DST,7,CHI,36.42,34.1,20.9,30.6,8,130.02
28,Cincinnati Bengals,CIN,DST,7,KC,36.82,49,36.9,23.2,9,154.92
