Name,Team,year,Week,home,away,Opponent
Patrick Mahomes,KC,2018,9,CLE,KC,CLE
Cam Newton,CAR,2018,9,CAR,TB,TB
Deshaun Watson,HOU,2018,9,DEN,HOU,DEN
Kirk Cousins,MIN,2018,9,MIN,DET,DET
Drew Brees,NO,2018,9,NO,LAR,LAR
Jared Goff,LAR,2018,9,NO,LAR,NO
Russell Wilson,SEA,2018,9,SEA,LAC,LAC
Mitchell Trubisky,CHI,2018,9,BUF,CHI,BUF
Ben Roethlisberger,PIT,2018,9,BAL,PIT,BAL
Matt Ryan,ATL,2018,9,WAS,ATL,WAS
Baker Mayfield,CLE,2018,9,CLE,KC,KC
Matthew Stafford,DET,2018,9,MIN,DET,MIN
Philip Rivers,LAC,2018,9,SEA,LAC,SEA
Ryan Fitzpatrick,TB,2018,9,CAR,TB,CAR
Jameis Winston,TB,2018,9,CAR,TB,CAR
Joe Flacco,BAL,2018,9,BAL,PIT,PIT
Ryan Tannehill,MIA,2018,9,MIA,NYJ,NYJ
Alex Smith,WAS,2018,9,WAS,ATL,ATL
Brock Osweiler,MIA,2018,9,MIA,NYJ,NYJ
Case Keenum,DEN,2018,9,DEN,HOU,HOU
Sam Darnold,NYJ,2018,9,MIA,NYJ,MIA
Josh Allen,BUF,2018,9,BUF,CHI,CHI
Tyrod Taylor,CLE,2018,9,CLE,KC,KC
Teddy Bridgewater,NO,2018,9,NO,LAR,LAR
Joshua Dobbs,PIT,2018,9,BAL,PIT,BAL
Mason Rudolph,PIT,2018,9,BAL,PIT,BAL
Lamar Jackson,BAL,2018,9,BAL,PIT,PIT
Robert Griffin III,BAL,2018,9,BAL,PIT,PIT
Matt Cassel,DET,2018,9,MIN,DET,MIN
Trevor Siemian,MIN,2018,9,MIN,DET,DET
Matt Schaub,ATL,2018,9,WAS,ATL,WAS
Colt McCoy,WAS,2018,9,WAS,ATL,ATL
Brandon Weeden,HOU,2018,9,DEN,HOU,DEN
Sean Mannion,LAR,2018,9,NO,LAR,NO
Derek Anderson,BUF,2018,9,BUF,CHI,CHI
Chase Daniel,CHI,2018,9,BUF,CHI,BUF
Chad Henne,KC,2018,9,CLE,KC,CLE
Josh McCown,NYJ,2018,9,MIA,NYJ,MIA
Geno Smith,LAC,2018,9,SEA,LAC,SEA
Brett Hundley,SEA,2018,9,SEA,LAC,LAC
Nathan Peterman,BUF,2018,9,BUF,CHI,CHI
Ryan Griffin,TB,2018,9,CAR,TB,CAR
Taylor Heinicke,CAR,2018,9,CAR,TB,TB
Drew Stanton,CLE,2018,9,CLE,KC,KC
David Fales,MIA,2018,9,MIA,NYJ,NYJ
Kyle Sloter,MIN,2018,9,MIN,DET,DET
Joe Webb III,HOU,2018,9,DEN,HOU,DEN
Kevin Hogan,DEN,2018,9,DEN,HOU,HOU
Taysom Hill,NO,2018,9,NO,LAR,LAR
